season,season_type_label,teams,games,home_wins,home_losses,road_wins,road_losses,home_win_pct,road_win_pct
1950,Playoffs,12,30,22,8,8,22,0.7333333333333333,0.26666666666666666
1950,Regular Season,17,520,349,171,171,349,0.6711538461538461,0.32884615384615384
1951,Playoffs,8,26,21,5,5,21,0.8076923076923077,0.19230769230769232
1951,Regular Season,11,339,253,86,86,253,0.7463126843657817,0.2536873156342183
1952,Playoffs,8,25,18,7,7,18,0.72,0.28
1952,Regular Season,10,294,214,80,80,214,0.7278911564625851,0.272108843537415
1953,Playoffs,8,23,12,11,11,12,0.5217391304347826,0.4782608695652174
1953,Regular Season,10,280,197,83,83,197,0.7035714285714286,0.29642857142857143
1954,Playoffs,6,23,13,10,10,13,0.5652173913043478,0.43478260869565216
1954,Regular Season,9,235,150,85,85,150,0.6382978723404256,0.3617021276595745
1955,Playoffs,6,21,18,3,3,18,0.8571428571428571,0.14285714285714285
1955,Regular Season,9,198,139,59,59,139,0.702020202020202,0.29797979797979796
1956,Playoffs,6,21,16,5,5,16,0.7619047619047619,0.23809523809523808
1956,Regular Season,8,224,142,82,82,142,0.6339285714285714,0.36607142857142855
1957,Playoffs,6,17,11,6,6,11,0.6470588235294118,0.35294117647058826
1957,Regular Season,8,222,161,61,61,161,0.7252252252252253,0.2747747747747748
1958,Playoffs,6,21,12,9,9,12,0.5714285714285714,0.42857142857142855
1958,Regular Season,8,235,151,84,84,151,0.6425531914893617,0.3574468085106383
1959,Playoffs,6,22,18,4,4,18,0.8181818181818182,0.18181818181818182
1959,Regular Season,8,228,148,80,80,148,0.6491228070175439,0.3508771929824561
1960,Playoffs,6,25,15,10,10,15,0.6,0.4
1960,Regular Season,8,233,149,84,84,149,0.6394849785407726,0.3605150214592275
1961,Playoffs,6,25,17,8,8,17,0.68,0.32
1961,Regular Season,8,241,156,85,85,156,0.6473029045643154,0.35269709543568467
1962,Playoffs,6,29,19,10,10,19,0.6551724137931034,0.3448275862068966
1962,Regular Season,9,273,166,107,107,166,0.608058608058608,0.39194139194139194
1963,Playoffs,6,29,20,9,9,20,0.6896551724137931,0.3103448275862069
1963,Regular Season,9,293,184,109,109,184,0.6279863481228669,0.3720136518771331
1964,Playoffs,6,27,23,4,4,23,0.8518518518518519,0.14814814814814814
1964,Regular Season,9,311,185,126,126,185,0.594855305466238,0.40514469453376206
1965,Playoffs,6,26,20,6,6,20,0.7692307692307693,0.23076923076923078
1965,Regular Season,9,303,177,126,126,177,0.5841584158415841,0.4158415841584158
1966,Playoffs,6,27,13,14,14,13,0.48148148148148145,0.5185185185185185
1966,Regular Season,9,286,197,89,89,197,0.6888111888111889,0.3111888111888112
1967,Playoffs,8,31,18,13,13,18,0.5806451612903226,0.41935483870967744
1967,Regular Season,10,321,193,128,128,193,0.6012461059190031,0.3987538940809969
1968,Playoffs,8,40,24,16,16,24,0.6,0.4
1968,Regular Season,12,423,241,182,182,241,0.5697399527186762,0.4302600472813239
1969,Playoffs,8,39,24,15,15,24,0.6153846153846154,0.38461538461538464
1969,Regular Season,14,521,315,206,206,315,0.6046065259117083,0.39539347408829173
1970,Playoffs,8,40,27,13,13,27,0.675,0.325
1970,Regular Season,14,520,313,207,207,313,0.6019230769230769,0.39807692307692305
1971,Playoffs,8,40,28,12,12,28,0.7,0.3
1971,Regular Season,17,664,402,262,262,402,0.6054216867469879,0.39457831325301207
1972,Playoffs,8,37,22,15,15,22,0.5945945945945946,0.40540540540540543
1972,Regular Season,17,662,385,277,277,385,0.581570996978852,0.41842900302114805
1973,Playoffs,8,41,28,13,13,28,0.6829268292682927,0.3170731707317073
1973,Regular Season,17,661,393,268,268,393,0.594553706505295,0.405446293494705
1974,Playoffs,8,41,25,16,16,25,0.6097560975609756,0.3902439024390244
1974,Regular Season,17,672,410,262,262,410,0.6101190476190477,0.3898809523809524
1975,Playoffs,10,47,35,12,12,35,0.7446808510638298,0.2553191489361702
1975,Regular Season,18,738,473,265,265,473,0.6409214092140921,0.35907859078590787
1976,Playoffs,10,50,34,16,16,34,0.68,0.32
1976,Regular Season,18,738,483,255,255,483,0.6544715447154471,0.34552845528455284
1977,Playoffs,12,53,38,15,15,38,0.71698113207547165,0.2830188679245283
1977,Regular Season,22,902,618,284,284,618,0.6851441241685144,0.3148558758314856
1978,Playoffs,12,51,37,14,14,37,0.7254901960784313,0.27450980392156865
1978,Regular Season,22,902,610,292,292,610,0.6762749445676275,0.3237250554323725
1979,Playoffs,12,53,36,17,17,36,0.6792452830188679,0.32075471698113206
1979,Regular Season,22,902,600,302,302,600,0.6651884700665188,0.3348115299334812
1980,Playoffs,12,48,31,17,17,31,0.6458333333333334,0.3541666666666667
1980,Regular Season,22,902,589,313,313,589,0.6529933481152993,0.34700665188470065
1981,Playoffs,12,53,26,27,27,26,0.49056603773584906,0.5094339622641509
1981,Regular Season,23,943,586,357,357,586,0.6214209968186638,0.37857900318133614
1982,Playoffs,12,47,28,19,19,28,0.5957446808510638,0.40425531914893614
1982,Regular Season,23,943,565,378,378,565,0.5991516436903499,0.40084835630965004
1983,Playoffs,12,43,26,17,17,26,0.6046511627906976,0.3953488372093023
1983,Regular Season,23,943,585,358,358,585,0.6203605514316013,0.3796394485683987
1984,Playoffs,16,79,51,28,28,51,0.6455696202531646,0.35443037974683544
1984,Regular Season,23,943,640,303,303,640,0.6786850477200425,0.3213149522799576
1985,Playoffs,16,68,45,23,23,45,0.6617647058823529,0.3382352941176471
1985,Regular Season,23,943,601,342,342,601,0.6373276776246023,0.36267232237539765
1986,Playoffs,16,68,47,21,21,47,0.6911764705882353,0.3088235294117647
1986,Regular Season,23,943,617,326,326,617,0.6542948038176034,0.3457051961823966
1987,Playoffs,16,71,51,20,20,51,0.7183098591549296,0.28169014084507044
1987,Regular Season,23,943,627,316,316,627,0.6648992576882291,0.33510074231177095
1988,Playoffs,16,80,57,23,23,57,0.7125,0.2875
1988,Regular Season,23,943,640,303,303,640,0.6786850477200425,0.3213149522799576
1989,Playoffs,16,62,34,28,28,34,0.5483870967741935,0.45161290322580644
1989,Regular Season,25,1025,694,331,331,694,0.6770731707317074,0.3229268292682927
1990,Playoffs,16,72,54,18,18,54,0.75,0.25
1990,Regular Season,27,1107,713,394,394,713,0.6440831074977417,0.35591689250225833
1991,Playoffs,16,68,43,25,25,43,0.6323529411764706,0.36764705882352944
1991,Regular Season,27,1107,730,377,377,730,0.6594399277326106,0.3405600722673893
1992,Playoffs,16,73,52,21,21,52,0.7123287671232876,0.2876712328767123
1992,Regular Season,27,1107,699,408,408,699,0.6314363143631436,0.3685636856368564
1993,Playoffs,16,76,50,26,26,50,0.6578947368421053,0.34210526315789475
1993,Regular Season,27,1107,676,431,431,676,0.6106594399277326,0.3893405600722674
1994,Playoffs,16,77,55,22,22,55,0.7142857142857143,0.2857142857142857
1994,Regular Season,27,1107,677,430,430,677,0.6115627822944896,0.3884372177055104
1995,Playoffs,16,73,40,33,33,40,0.547945205479452,0.4520547945205479
1995,Regular Season,27,1107,661,446,446,661,0.5971093044263776,0.4028906955736224
1996,Playoffs,16,68,46,22,22,46,0.6764705882352942,0.3235294117647059
1996,Regular Season,29,1189,718,471,471,718,0.6038687973086627,0.3961312026913373
1997,Playoffs,16,72,50,22,22,50,0.6944444444444444,0.3055555555555556
1997,Regular Season,29,1189,684,505,505,684,0.575273338940286,0.4247266610597141
1998,Playoffs,16,71,47,24,24,47,0.6619718309859155,0.3380281690140845
1998,Regular Season,29,1189,708,481,481,708,0.5954583683767872,0.40454163162321277
1999,Playoffs,16,66,40,26,26,40,0.6060606060606061,0.3939393939393939
1999,Regular Season,29,725,452,273,273,452,0.623448275862069,0.37655172413793103
2000,Playoffs,16,75,54,21,21,54,0.72,0.28
2000,Regular Season,29,1189,726,463,463,726,0.6105971404541631,0.3894028595458368
2001,Playoffs,16,71,41,30,30,41,0.5774647887323944,0.4225352112676056
2001,Regular Season,29,1189,711,478,478,711,0.5979814970563498,0.4020185029436501
