season,games,home_wins,road_wins,home_win_pct,road_win_pct,close_games,close_home_wins,close_home_win_pct,avg_margin,team_games,playoff_3pa_per_team_game,era
2002,71,42,29,0.5915492957746479,0.4084507042253521,21,12,0.5714285714285714,9,142,16.62676056338028,2002-2009
2003,88,54,34,0.6136363636363636,0.38636363636363635,30,13,0.43333333333333335,10.409090909090908,176,17.079545454545453,2002-2009
2004,82,59,23,0.7195121951219512,0.2804878048780488,20,10,0.5,11.085365853658537,164,15.634146341463415,2002-2009
2005,84,47,37,0.5595238095238095,0.44047619047619047,23,7,0.30434782608695654,11.380952380952381,168,17.208333333333332,2002-2009
2006,89,60,29,0.6741573033707865,0.3258426966292135,27,15,0.5555555555555556,10.573033707865168,178,17.235955056179776,2002-2009
2007,79,52,27,0.6582278481012658,0.34177215189873417,20,10,0.5,10.227848101265822,158,18.310126582278482,2002-2009
2008,86,64,22,0.7441860465116279,0.2558139534883721,22,15,0.6818181818181818,12.5,172,17.540697674418606,2002-2009
2009,85,57,28,0.6705882352941176,0.32941176470588235,25,17,0.68,12.6,170,19.270588235294117,2002-2009
2010,82,55,27,0.6707317073170732,0.32926829268292684,19,9,0.47368421052631576,11.841463414634147,164,19.01219512195122,2010-2016
2011,81,54,27,0.6666666666666666,0.3333333333333333,24,17,0.7083333333333334,9.54320987654321,162,17.91358024691358,2010-2016
2012,84,57,27,0.6785714285714286,0.32142857142857145,29,16,0.5517241379310345,9.869047619047619,168,17.75595238095238,2010-2016
2013,85,54,31,0.6352941176470588,0.36470588235294116,18,13,0.7222222222222222,11.529411764705882,170,20.6,2010-2016
2014,89,50,39,0.5617977528089888,0.43820224719101125,32,17,0.53125,10.280898876404494,178,22.348314606741575,2010-2016
2015,81,48,33,0.5925925925925926,0.4074074074074074,20,12,0.6,11.17283950617284,162,25.549382716049383,2010-2016
2016,86,58,28,0.6744186046511628,0.32558139534883723,18,9,0.5,14.488372093023257,172,25.767441860465116,2010-2016
2017,79,45,34,0.569620253164557,0.43037974683544306,19,8,0.42105263157894735,13.60759493670886,158,29.09493670886076,2017-2019
2018,82,58,24,0.7073170731707317,0.2926829268292683,19,13,0.6842105263157895,12.865853658536585,164,29.914634146341463,2017-2019
2019,82,46,36,0.5609756097560976,0.43902439024390244,26,10,0.38461538461538464,12.060975609756097,164,32.93292682926829,2017-2019
2020,83,40,43,0.4819277108433735,0.5180722891566265,19,9,0.47368421052631576,11.626506024096386,166,36.31325301204819,2020 Bubble
2021,85,48,37,0.5647058823529412,0.43529411764705883,16,5,0.3125,12.494117647058824,170,34.3,2021-2026
2022,87,52,35,0.5977011494252874,0.40229885057471265,20,11,0.55,12.942528735632184,174,34.58045977011494,2021-2026
2023,84,50,34,0.5952380952380952,0.40476190476190477,21,10,0.47619047619047616,11.654761904761905,168,34.291666666666664,2021-2026
2024,82,48,34,0.5853658536585366,0.4146341463414634,21,11,0.5238095238095238,13.426829268292684,164,33.390243902439025,2021-2026
2025,84,48,36,0.5714285714285714,0.42857142857142855,22,5,0.22727272727272727,13.642857142857142,168,35.160714285714285,2021-2026
2026,85,47,38,0.5529411764705883,0.4470588235294118,16,6,0.375,14.258823529411766,170,34.370588235294115,2021-2026
