era,round,games,home_wins,road_wins,home_win_pct,road_win_pct,close_games,close_home_win_pct,avg_margin
2002-2009,First Round,340,224,116,0.6588235294117647,0.3411764705882353,96,0.53125,11.685294117647059
2002-2009,Conference Semifinals,188,127,61,0.675531914893617,0.324468085106383,49,0.5102040816326531,10.867021276595745
2002-2009,Conference Finals,93,55,38,0.5913978494623656,0.40860215053763443,29,0.5517241379310345,9.182795698924732
2002-2009,NBA Finals,43,29,14,0.6744186046511628,0.32558139534883723,14,0.5,10.348837209302326
2010-2016,First Round,312,204,108,0.6538461538461539,0.34615384615384615,96,0.6354166666666666,10.621794871794872
2010-2016,Conference Semifinals,153,90,63,0.5882352941176471,0.4117647058823529,33,0.5151515151515151,11.915032679738562
2010-2016,Conference Finals,80,56,24,0.7,0.3,20,0.55,12.375
2010-2016,NBA Finals,43,26,17,0.6046511627906976,0.3953488372093023,11,0.36363636363636365,11.44186046511628
2017-2019,First Round,130,80,50,0.6153846153846154,0.38461538461538464,35,0.45714285714285713,12.107692307692307
2017-2019,Conference Semifinals,65,42,23,0.6461538461538462,0.35384615384615387,19,0.631578947368421,13.23076923076923
2017-2019,Conference Finals,33,20,13,0.6060606060606061,0.3939393939393939,6,0.5,15.242424242424242
2017-2019,NBA Finals,15,7,8,0.4666666666666667,0.5333333333333333,4,0,12.133333333333333
2020 Bubble,First Round,42,25,17,0.5952380952380952,0.40476190476190477,8,0.875,13.595238095238095
2020 Bubble,Conference Semifinals,24,5,19,0.20833333333333334,0.7916666666666666,6,0,10.333333333333334
2020 Bubble,Conference Finals,11,7,4,0.6363636363636364,0.36363636363636365,4,0.5,7.7272727272727275
2020 Bubble,NBA Finals,6,3,3,0.5,0.5,1,0,10.166666666666666
2021-2026,First Round,263,154,109,0.5855513307984791,0.4144486692015209,59,0.4745762711864407,12.669201520912548
2021-2026,Conference Semifinals,144,87,57,0.6041666666666666,0.3958333333333333,33,0.45454545454545453,14.51388888888889
2021-2026,Conference Finals,66,32,34,0.48484848484848486,0.5151515151515151,16,0.1875,12.666666666666666
2021-2026,NBA Finals,34,20,14,0.5882352941176471,0.4117647058823529,8,0.25,10.823529411764707
