season,games,home_wins,road_wins,home_win_pct,road_win_pct,close_games,close_home_wins,close_road_wins,close_home_win_pct,close_road_win_pct,avg_margin,home_win_pct_3yr,home_win_pct_5yr,close_home_win_pct_5yr
2002,71,42,29,0.5915492957746479,0.4084507042253521,21,12,9,0.5714285714285714,0.42857142857142855,9,0.5915492957746479,0.5915492957746479,0.5714285714285714
2003,88,54,34,0.6136363636363636,0.38636363636363635,30,13,17,0.43333333333333335,0.5666666666666667,10.409090909090908,0.6025928297055058,0.6025928297055058,0.5023809523809524
2004,82,59,23,0.7195121951219512,0.2804878048780488,20,10,10,0.5,0.5,11.085365853658537,0.6415659515109876,0.6415659515109876,0.5015873015873016
2005,84,47,37,0.5595238095238095,0.44047619047619047,23,7,16,0.30434782608695654,0.6956521739130435,11.380952380952381,0.6308907894273748,0.621055416014193,0.4522774327122153
2006,89,60,29,0.6741573033707865,0.3258426966292135,27,15,12,0.5555555555555556,0.4444444444444444,10.573033707865168,0.6510644360055158,0.6316757934855117,0.47293305728088336
2007,79,52,27,0.6582278481012658,0.34177215189873417,20,10,10,0.5,0.5,10.227848101265822,0.6306363203319539,0.6450115039508353,0.45864734299516907
2008,86,64,22,0.7441860465116279,0.2558139534883721,22,15,7,0.6818181818181818,0.3181818181818182,12.5,0.6921903993278934,0.6711214405258882,0.5083443126921388
2009,85,57,28,0.6705882352941176,0.32941176470588235,25,17,8,0.68,0.32,12.6,0.6910007099690038,0.6613366485603215,0.5443443126921388
2010,82,55,27,0.6707317073170732,0.32926829268292684,19,9,10,0.47368421052631576,0.5263157894736842,11.841463414634147,0.6951686630409396,0.6835782281189742,0.5782115895800106
2011,81,54,27,0.6666666666666666,0.3333333333333333,24,17,7,0.7083333333333334,0.2916666666666667,9.54320987654321,0.6693288697592858,0.6820801007781502,0.6087671451355662
2012,84,57,27,0.6785714285714286,0.32142857142857145,29,16,13,0.5517241379310345,0.4482758620689655,9.869047619047619,0.6719899341850561,0.6861488168721828,0.6191119727217731
2013,85,54,31,0.6352941176470588,0.36470588235294116,18,13,5,0.7222222222222222,0.2777777777777778,11.529411764705882,0.6601774042950513,0.664370431099269,0.6271927808025812
2014,89,50,39,0.5617977528089888,0.43820224719101125,32,17,15,0.53125,0.46875,10.280898876404494,0.6252210996758254,0.6426123346022432,0.5974427808025812
2015,81,48,33,0.5925925925925926,0.4074074074074074,20,12,8,0.6,0.4,11.17283950617284,0.5965614876828801,0.626984511657347,0.622705938697318
2016,86,58,28,0.6744186046511628,0.32558139534883723,18,9,9,0.5,0.5,14.488372093023257,0.6096029833509147,0.6285348992542463,0.5810392720306513
2017,79,45,34,0.569620253164557,0.43037974683544306,19,8,11,0.42105263157894735,0.5789473684210527,13.60759493670886,0.6122104834694374,0.606744664172872,0.5549049707602339
2018,82,58,24,0.7073170731707317,0.2926829268292683,19,13,6,0.6842105263157895,0.3157894736842105,12.865853658536585,0.6504519769954838,0.6211492552776066,0.5473026315789473
2019,82,46,36,0.5609756097560976,0.43902439024390244,26,10,16,0.38461538461538464,0.6153846153846154,12.060975609756097,0.6126376453637954,0.6209848266670284,0.5179757085020242
2020,83,40,43,0.4819277108433735,0.5180722891566265,19,9,10,0.47368421052631576,0.5263157894736842,11.626506024096386,0.5834067979234009,0.5988518503171845,0.49271255060728747
2021,85,48,37,0.5647058823529412,0.43529411764705883,16,5,11,0.3125,0.6875,12.494117647058824,0.5358697343174708,0.5769093058575402,0.45521255060728744
2022,87,52,35,0.5977011494252874,0.40229885057471265,20,11,9,0.55,0.45,12.942528735632184,0.5481115808738674,0.5825254851096863,0.48100202429149796
2023,84,50,34,0.5952380952380952,0.40476190476190477,21,10,11,0.47619047619047616,0.5238095238095238,11.654761904761905,0.5858817090054412,0.560109689523159,0.4393980142664353
2024,82,48,34,0.5853658536585366,0.4146341463414634,21,11,10,0.5238095238095238,0.47619047619047616,13.426829268292684,0.5927683661073064,0.5649877383036468,0.4672368421052632
2025,84,48,36,0.5714285714285714,0.42857142857142855,22,5,17,0.22727272727272727,0.7727272727272727,13.642857142857142,0.5840108401084011,0.5828879104206863,0.41795454545454547
2026,85,47,38,0.5529411764705883,0.4470588235294118,16,6,10,0.375,0.625,14.258823529411766,0.5699118671858987,0.5805349692442158,0.4304545454545455
